ID,fear,anger,anticipation,trust,surprise,positive,negative,sadness,disgust,joy
146743638.12652.12652,0,0,0,0,0,0,0,0,0,0
146743638.12667.12652,0.333333333,0,0,0,0,0,0.333333333,0.333333333,0,0
146842219.12874.12874,0,0,0,0.285714286,0.142857143,0.571428571,0,0,0,0
146860774.13072.13072,1,0,0,0,0,0,0,0,0,0
143890867.11926.11926,0,0,0,0,0,0,0,0,0,0
143890867.11944.11926,0,0,0,0,0,0,1,0,0,0
143902946.11991.11991,0,0,0,0,0,0.666666667,0.333333333,0,0,0
143945536.12065.12065,0.125,0.125,0,0.125,0,0.125,0.125,0.125,0.125,0.125
144052463.12169.12169,0.333333333,0,0,0,0,0.333333333,0.333333333,0,0,0
144065917.12226.12226,0.090909091,0.090909091,0.090909091,0,0,0.181818182,0.272727273,0.090909091,0.181818182,0
127296808.516.516,0,0,0,0,0,0,0,0,0,0
127296808.534.516,0,0.117647059,0.058823529,0.117647059,0,0.235294118,0.352941176,0.058823529,0.058823529,0
127331347.862.862,0,0,0,0,0,0,0,0,0,0
127772860.903.903,0.153846154,0.038461538,0.038461538,0.192307692,0.038461538,0.153846154,0.192307692,0.115384615,0,0.076923077
144643838.1236.1236,0,0,0,0,0,0,0,0,0,0
144643838.1260.1236,0,0,0.333333333,0.333333333,0,0.333333333,0,0,0,0
144644837.1330.1330,0,0,0,0,0,0.666666667,0.333333333,0,0,0
144645147.1375.1330,0,0.5,0,0,0,0,0.5,0,0,0
144645449.1479.1479,0,0.25,0,0,0,0,0.416666667,0.25,0.083333333,0
66813686.23567.23567,0,0,0,0,0,0,0,0,0,0
66813686.23575.23567,0.125,0.125,0,0.25,0,0.125,0.25,0,0.125,0
67105084.23665.23665,0.025641026,0,0,0.307692308,0,0.358974359,0.076923077,0.025641026,0,0.205128205
67165403.24298.24298,0,0,0.052631579,0.315789474,0.052631579,0.421052632,0.105263158,0,0,0.052631579
67171779.24663.24663,0,0,0.117647059,0.352941176,0.058823529,0.294117647,0,0,0,0.176470588
67175218.24895.24895,0,0,0.142857143,0.214285714,0.071428571,0.285714286,0.142857143,0,0,0.142857143
67176052.25110.25110,0.074074074,0.074074074,0.074074074,0.259259259,0.037037037,0.148148148,0.185185185,0.037037037,0.074074074,0.037037037
68000691.25417.25417,0,0,0,0,0,0,1,0,0,0
68000691.25429.25417,0,0.2,0,0,0,0,0.4,0.2,0.2,0
68063051.25544.25544,0.2,0.2,0,0,0,0,0.2,0.2,0.2,0
68188977.25580.25580,0.090909091,0.090909091,0.090909091,0.090909091,0,0.090909091,0.272727273,0.090909091,0.090909091,0.090909091
68254097.25708.25708,0,0,0,0,0,0,0.571428571,0,0.428571429,0
95127226.4039.4039,0.083333333,0.083333333,0.083333333,0.083333333,0,0.166666667,0.333333333,0.166666667,0,0
95369890.4278.4278,0.1,0.266666667,0.033333333,0.033333333,0,0.166666667,0.266666667,0.133333333,0,0
95473956.4534.4534,0.1,0.1,0.1,0,0,0.3,0.2,0.1,0,0.1
95496469.4805.4805,0.041666667,0.083333333,0.083333333,0.166666667,0.041666667,0.291666667,0.166666667,0.041666667,0,0.083333333
95652272.5102.5102,0.114285714,0,0.142857143,0.142857143,0.085714286,0.228571429,0.142857143,0.028571429,0.028571429,0.085714286
95665651.5462.5462,0.083333333,0,0.083333333,0.083333333,0,0.416666667,0.25,0.083333333,0,0
100898446.6243.6250,0,0,0,0,0,0,0,0,0,0
14969685.9097.9097,0,0,0,0,0,1,0,0,0,0
14969685.9121.9097,0.127272727,0.072727273,0.109090909,0.181818182,0.018181818,0.127272727,0.218181818,0.072727273,0.054545455,0.018181818
14971191.9954.9954,0,0,0.111111111,0.222222222,0,0.444444444,0,0,0,0.222222222
14972044.10058.10058,0.153846154,0.076923077,0.076923077,0,0.076923077,0,0.307692308,0.230769231,0.076923077,0
158714043.10458.10458,0,0,0,0,0,0,0,0,0,0
158714043.10466.10458,0.5,0,0,0,0,0,0.5,0,0,0
158724926.10556.10556,0,0,0,0,0,0,0,0,0,0
158728127.10607.10607,0.166666667,0.166666667,0,0,0,0,0.333333333,0.166666667,0.166666667,0
156725805.9367.0,0,0,0,0,0,0,0,0,0,0
156725805.9377.0,0,0,0,0,0,0,0,0,0,0
156726951.9435.9435,0,0.166666667,0,0.166666667,0,0.166666667,0.166666667,0.166666667,0.166666667,0
156932020.9514.9514,0,0,0.230769231,0.307692308,0,0.230769231,0.076923077,0.076923077,0,0.076923077
156933650.9695.9685,0,0,1,0,0,0,0,0,0,0
